Date,Week,Month,Channel_1_Views,Channel_1_Interactions,Channel_2_Views,Channel_2_Interactions,Site_Visitors,Term_1,Term_2,Term_3
1/1/14,12/30/07,2014-1,"8,000",300,"7,500,000","36,000","29,200",16.0,16.0,47.0
1/2/14,1/6/08,2014-1,"13,000",700,"7,600,000","41,000","28,500",24.0,17.0,64.0
1/3/14,1/13/08,2014-1,"47,000","2,000","7,800,000","39,000","27,000",22.0,34.0,64.0
1/4/14,1/20/08,2014-1,"52,000","1,000","7,600,000","35,000","22,100",30.0,23.0,63.0
1/5/14,1/27/08,2014-1,"60,000","2,000","7,400,000","41,000","22,400",22.0,15.0,63.0
1/6/14,2/3/08,2014-1,"96,000","3,000","8,600,000","39,000","26,600",31.0,26.0,67.0
1/7/14,2/10/08,2014-1,"140,000","3,000","17,100,000","38,000","26,000",24.0,26.0,61.0
1/8/14,2/17/08,2014-1,"170,000","4,000","13,200,000","38,000","28,800",23.0,37.0,64.0
1/9/14,2/24/08,2014-1,"170,000","4,000","9,100,000","29,000","25,400",29.0,25.0,66.0
1/10/14,3/2/08,2014-1,"170,000","4,000","9,000,000","34,000","26,700",24.0,37.0,67.0
1/11/14,3/9/08,2014-1,"110,000","2,000","7,000,000","37,000","23,100",29.0,32.0,69.0
1/12/14,3/16/08,2014-1,"130,000","3,000","7,500,000","44,000","25,700",21.0,21.0,59.0
1/13/14,3/23/08,2014-1,"160,000","4,000","12,100,000","56,000","33,500",28.0,27.0,63.0
1/14/14,3/30/08,2014-1,"170,000","4,000","5,800,000","31,000","25,400",26.0,23.0,63.0
1/15/14,4/6/08,2014-1,"180,000","5,000","14,900,000","63,000","34,500",26.0,27.0,67.0
1/16/14,4/13/08,2014-1,"190,000","5,000","14,800,000","53,000","33,500",28.0,37.0,67.0
1/17/14,4/20/08,2014-1,"170,000","4,000","14,000,000","67,000","33,600",29.0,29.0,68.0
1/18/14,4/27/08,2014-1,"130,000","3,000","18,500,000","90,000","40,200",28.0,23.0,58.0
1/19/14,5/4/08,2014-1,"120,000","3,000","7,100,000","32,000","17,500",26.0,32.0,59.0
1/20/14,5/11/08,2014-1,"150,000","4,000","7,700,000","48,000","27,700",29.0,25.0,57.0
1/21/14,5/18/08,2014-1,"190,000","5,000","7,500,000","42,000","24,700",23.0,39.0,63.0
1/22/14,5/25/08,2014-1,"210,000","5,000","8,600,000","37,000","25,600",24.0,24.0,58.0
1/23/14,6/1/08,2014-1,"180,000","5,000","7,800,000","43,000","27,500",23.0,15.0,55.0
1/24/14,6/8/08,2014-1,"160,000","4,000","9,600,000","38,000","25,500",24.0,20.0,53.0
1/25/14,6/15/08,2014-1,"120,000","3,000","11,300,000","40,000","21,900",20.0,24.0,49.0
1/26/14,6/22/08,2014-1,"130,000","3,000","12,600,000","43,000","23,400",23.0,18.0,46.0
1/27/14,6/29/08,2014-1,"250,000","5,000","19,700,000","68,000","39,700",23.0,19.0,46.0
1/28/14,7/6/08,2014-1,"290,000","5,000","27,300,000","110,000","55,300",26.0,17.0,45.0
1/29/14,7/13/08,2014-1,"300,000","4,000","28,100,000","110,000","57,000",26.0,11.0,46.0
1/30/14,7/20/08,2014-1,"250,000","5,000","27,000,000","110,000","56,900",25.0,16.0,50.0
1/31/14,7/27/08,2014-1,"200,000","4,000","23,800,000","100,000","54,200",24.0,11.0,46.0
2/1/14,8/3/08,2014-2,"170,000","3,000","6,500,000","34,000","30,100",30.0,12.0,47.0
2/2/14,8/10/08,2014-2,"170,000","3,000","6,300,000","28,000","25,600",31.0,21.0,54.0
